,Question,Updated_question,Answer,Context,Similarity,Keyword,ID
120,How much water is required for each metric ton of ammonia produced in wind and photovoltaic electricity-driven ammonia production?,How much water is required for each metric ton of ammonia produced in electricity-driven ammonia production using resources that are influenced by atmospheric movements?,A minimum of 1.6 metric tons of water,"['A resource-related challenge to wind and photovoltaic electricity-driven ammonia production is the need for clean water, as it requires a minimum of 1.6 metric tons of water for each metric ton of ammonia produced.', 'The location of the facilities does not drastically change between scenarios because the facilities migrate from locations with the best wind and solar resources-but poor water availabilityto adjacent regions that have excellent wind and solar resources-but not the best-and access to a reliable source of water.', 'However, a decentralized wind and photovoltaic electricitydriven ammonia production network is three times less sensitive to changes in transportation costs than a centralized network.']",0.518518519,wind,121
196,"Which functional group has a higher overall relative acceptor ability, NO2 or CHO?","Which functional group has a higher overall relative acceptor ability, NO2 or a substituent with the lowest relative π- and σ-acceptor abilities compared to NO2 and NO?",NO2 has a higher overall relative acceptor ability than CHO.,"['From a combination of various approaches such as the LUMO energy when the functional group is in conjugation with a \uf070-bond, antiperiplanar interactions such as \uf073CH→\uf073*CN, \uf073CH→\uf073*CC(=O), \uf073CC→\uf073*CN and \uf073CC→\uf073*CC(=O), atomic charges and the charge densities, the overall relative acceptor ability of the three chosen functional groups is NO2 > NO > CHO.', 'The relative electron acceptor abilities of the NO2, NO and CHO groups and their application to the NBO-TS torquoselectivity Much against the long held notion in the prediction of torquoselectivity, the relative \uf070and \uf073-acceptor abilities of NO2, NO and CHO are demonstrated to decrease in the order NO2 > NO > CHO from a combination of different computational parameters such as the differential electron densities, antiperiplanar \uf073CH/CC-\uf073*CN and \uf073CH/CC-\uf073*CO interactions, and conjugate interactions such as \uf073CH/CC-\uf070*NO and \uf070CC-\uf070*NO in the nitro and nitroso species and \uf073CH/CC-\uf070*CO and \uf070CC-\uf070*CO in the CHO species.', 'The antiperiplanar interaction of a \uf073 bond with \uf073*CN in the NO2 and NO species and \uf073*CC(=O) in the CHO species in a geometrically well-defined arrangement, such as in substituted cyclohexane, provides a reasonably good measure of the \uf073-electron attracting ability of the substituent.']",0.5,CHO,197
336,At what distance from the copper atoms within the active site was a point charge placed for each tyrosinase?,"At what distance from the copper atoms within the active site was a point charge placed for each enzyme used in reactions run for 30 min at RT in 50 mM pH 6.5 phosphate buffer, with a concentration of 5 U/L?",14 Å,"['For each tyrosinase a point charge was placed 14 Å from the copper atoms within the active site and potential charge and pI were calculated using the Epik and Macromodel modules of Maestro developed by Schrödinger.', 'Reactions were run for 30 min at RT in 50 mM pH 6.5 phosphate buffer, 5 U/L tyrosinase, 50 µM Y200C sfGFP and 250 µM peptide.', 'B) Tableshowingresults of charge potential calculations for the various tyrosinase mutants.']",0.459459459,tyrosinase,337
582,On what apparatus was TGA performed?,On what apparatus was the evaluation of the thermal stability of synthesized materials performed?,TA2050,"['TGA was performed on a TA2050 apparatus using a heating rate of 5 °C/min under a nitrogen flow of 15 mL/min and raising the temperature to 700°C.', 'Due to its large surface area, adjustable characteristics, stability, effectiveThermal stabilityThe thermal stability of the synthesized materials was evaluated by Thermogravimetric analysis (TGA).', 'Therefore, the removal of hydroxylated species after activation was established as in agreement with TGA results as well.']",0.384615385,TGA,583
395,Why was the B3LYP-D functional chosen for further analysis of the periodic DNA systems?,Why was the functional that predicts stable A-T and C-G stacks/Watson-Crick pairs and is used to obtain geometries of periodic poly(G-C) chosen for further analysis of the periodic DNA systems?,"The B3LYP-D functional was chosen for further analysis because it provides stable geometries and reasonable band gaps, and it was the best functional examined in the study for these large periodic structures.","['For clarity, we only discuss electron/hole mobilities calculated at the B3LYP-D level of theory since this functional simultaneously gives stable geometries and reasonable band gaps 54-56. ', 'However, since wavefunction-based methods are currently prohibitive for obtaining more accurate charge analyses in these large periodic structures, we chose B3LYP-D as the best functional examined in our study for further analysis of our periodic DNA systems.', 'In particular, our benchmark calculations on individual nucleotides showed that only LDA and B3LYP-D predict stable A-T and C-G stacks/Watson-Crick pairs in comparison to the CCSD(T) benchmarks.', 'Geometries of periodic poly(G-C) obtained with the LDA, BLYP, B3LYP, and B3LYP-D functionals.']",0.444444444,B3LYP-D,396
597,What is the step after reading the initial geometry in the process of using Sella for optimization?,What is the step after reading the initial geometry in the process of using a tool that defaults to a scalar parameter σ of 1.25 for checking pairs of atoms and adding bonds based on their Cartesian positions and covalent radii for optimization?,An ASE calculator for NWChem is attached to the resulting ASE Atoms object using all default settings.,"[""An initial geometry contained in input_structure.xyz is read using ASE's IO routines. "", 'An ASE calculator for NWChem is attached to the resulting ASE Atoms object using all default settings, which will perform a calculation at the HF/3-21G level of theory. ', 'A Sella optimizer object is then created for the ASE Atoms object, with optimization in internal coordinates requested explicitly. ', 'Finally, the optimization to a saddle point is run with a convergence criteria of a maximum atomic force of 0.01 eV Å -1.', 'This is accomplished by checking all pairs of atoms, and adding a bond ifx j -x i < σ r cov i + r cov j ,(35)where x i and x j are the Cartesian position of atoms i and j, σ is a scalar parameter which in Sella defaults to 1.25, and r cov i and r cov j are the covalent radii of atoms i and j. After all pairs of atoms have been checked, a flood fill algorithm is used to count the number of disconnected fragments in the molecular graph.', 'Listing 1 contains a minimal Python script that uses Sella to perform saddle point optimization on a molecule in an internal coordinate basis.']",0.378378378,sella,598
76,How much water is required for each metric ton of ammonia produced in wind and photovoltaic electricity-driven ammonia production?,"How much of the substance used in PC and PEC water splitting with a catalyst in powder form, and in solid oxide electrolysis cells (SOEC) is required for each metric ton of ammonia produced in wind and photovoltaic electricity-driven ammonia production?",A minimum of 1.6 metric tons of water,"['A resource-related challenge to wind and photovoltaic electricity-driven ammonia production is the need for clean water, as it requires a minimum of 1.6 metric tons of water for each metric ton of ammonia produced.', 'Thus, these facilities will not have access to a reliable supply of fresh water.', 'However, PC and PEC water splitting are performed using only a catalyst in powder (as suspension or adhere to an electrode), water, and and (c) solid oxide electrolysis cell (SOEC).']",0.529411765,water,77
639,Why does the photocurrent drop rapidly at early stages during chronoamperometry?,"Why does the photocurrent drop rapidly at early stages during a technique used to probe the change of nanoscale morphology in films, as evidenced by GISAXS intensity measurements?","The rapid drop in photocurrents at early stages during chronoamperometry is ascribed to the presence of metallic Bi, which significantly reduces the CuBi2O4 surface area in direct contact with the electrolyte.","['Therefore, we ascribe the fast drop in photocurrents at early stages during the chronoamperometry to the presence of metallic Bi which massively reduces the CuBi2O4 surface area in direct contact with the electrolyte.', 'f Evolution of the GISAXS intensity at 𝑞 !"",()* and the power law exponent during the CA.In addition to the quantification of the crystalline composition of the film via PDF analysis, we probe the change of nanoscale morphology during chronoamperometry by GISAXS.Figure shows the in-plane GISAXS intensity measured between 0 to 40 minutes of CA.', 'cathodic photocorrosion (slow): Cu 2+ + 2e -⇌ Cu 0 (eq. 2)Therefore, we ascribe the fast drop in photocurrents at early stages during the chronoamperometry to the presence of metallic Bi which massively reduces the CuBi2O4 surface area in direct contact with the electrolyte.']",0.357142857,chronoamperometry,640
477,What action is taken when we know N mean values for a set of operators?,What action is taken when we know N mean values for a set of measurable quantities that must not be orthogonal to the surprisal at a given point in time according to the Hilbert-Schmidt norm?,We select the one unique density operator whose entropy is maximal among all density operators that are consistent with the given mean values.,"['The commonly discussed scenario is when we know N mean values for a set of operators typically called the constraints. ', 'Among all density operators that are consistent with the given mean values of the constraints we select the one (unique) density of whose entropy is maximal.', 'The condition on the operator to have a non-zero Lagrange multiplier is that it is not orthogonal, in the sense of a Hilbert -Schmidt norm, to the surprisal at that point in time.', 'While it is possible to measure all operators with just four combinations it is common practice to perform all nine experiments to allow for repeated observations.']",0.424242424,operator,478
381,"Which has a higher dissociation constant, MitoFlag(L-D) or MitoFlag(L-E)?","Which has a higher dissociation constant, a substance with several transmembrane domains after being complexed with H2B or MitoFlag(L-E)?",MitoFlag(L-E) has a higher dissociation constant than MitoFlag(L-D).,"['The observations in TEM agree with the dissociation constants (Kd) of the binding between NLSH2B and MitoFlag(L-D), MitoFlag(L-E) and MitoFlag(D-D), which are 60.75, 107.94 and 184.81 µM, respectively.', 'The observations in TEM (Figure ) agree with the dissociation constants (Kd) of the binding between NLSH2B and MitoFlag(L-D), MitoFlag(L-E) and MitoFlag(D-D), which are 60.75, 107.94 and 184.81 µM, respectively.', 'The results above imply that MitoFlag(L-D), after being complexed with H2B, isdomain and several transmembrane domains.']",0.444444444,mitoflag(l-d,382
